#motif_id	gene_name	motif_similarity_qvalue	orthologous_identity	description
Nfia_glue	Nfia	0.0	1.0	placeholder
Pou4f3_glue	Pou4f3	0.0	1.0	placeholder
Esr1_glue	Esr1	0.0	1.0	placeholder
Hes1_glue	Hes1	0.0	1.0	placeholder
Dmrt3_glue	Dmrt3	0.0	1.0	placeholder
Nr1i3_glue	Nr1i3	0.0	1.0	placeholder
Sox21_glue	Sox21	0.0	1.0	placeholder
Isx_glue	Isx	0.0	1.0	placeholder
Tbp_glue	Tbp	0.0	1.0	placeholder
Zbtb32_glue	Zbtb32	0.0	1.0	placeholder
Snai1_glue	Snai1	0.0	1.0	placeholder
Maf_glue	Maf	0.0	1.0	placeholder
Mafa_glue	Mafa	0.0	1.0	placeholder
Glis3_glue	Glis3	0.0	1.0	placeholder
Nr3c1_glue	Nr3c1	0.0	1.0	placeholder
Nr3c2_glue	Nr3c2	0.0	1.0	placeholder
Msantd3_glue	Msantd3	0.0	1.0	placeholder
Meis1_glue	Meis1	0.0	1.0	placeholder
Foxk1_glue	Foxk1	0.0	1.0	placeholder
Foxo3_glue	Foxo3	0.0	1.0	placeholder
Foxa1_glue	Foxa1	0.0	1.0	placeholder
Foxq1_glue	Foxq1	0.0	1.0	placeholder
Otp_glue	Otp	0.0	1.0	placeholder
Barx2_glue	Barx2	0.0	1.0	placeholder
Gsc2_glue	Gsc2	0.0	1.0	placeholder
Sox15_glue	Sox15	0.0	1.0	placeholder
Rfx4_glue	Rfx4	0.0	1.0	placeholder
Pif1_glue	Pif1	0.0	1.0	placeholder
Mtf1_glue	Mtf1	0.0	1.0	placeholder
Hmbox1_glue	Hmbox1	0.0	1.0	placeholder
Rax_glue	Rax	0.0	1.0	placeholder
Arx_glue	Arx	0.0	1.0	placeholder
Lhx3_glue	Lhx3	0.0	1.0	placeholder
Pax7_glue	Pax7	0.0	1.0	placeholder
Pax3_glue	Pax3	0.0	1.0	placeholder
Arid3b_glue	Arid3b	0.0	1.0	placeholder
Pax1_glue	Pax1	0.0	1.0	placeholder
Pax9_glue	Pax9	0.0	1.0	placeholder
Pax2_glue	Pax2	0.0	1.0	placeholder
Relb_glue	Relb	0.0	1.0	placeholder
Figla_glue	Figla	0.0	1.0	placeholder
Pou2f1_glue	Pou2f1	0.0	1.0	placeholder
Pou2f2_glue	Pou2f2	0.0	1.0	placeholder
Pou3f1_glue	Pou3f1	0.0	1.0	placeholder
Pou3f2_glue	Pou3f2	0.0	1.0	placeholder
Pou3f4_glue	Pou3f4	0.0	1.0	placeholder
Six3_glue	Six3	0.0	1.0	placeholder
Nr2e1_glue	Nr2e1	0.0	1.0	placeholder
Onecut3_glue	Onecut3	0.0	1.0	placeholder
Tbx20_glue	Tbx20	0.0	1.0	placeholder
Atf2_glue	Atf2	0.0	1.0	placeholder
Bhlha15_glue	Bhlha15	0.0	1.0	placeholder
Phox2a_glue	Phox2a	0.0	1.0	placeholder
Nrl_glue	Nrl	0.0	1.0	placeholder
Hoxb9_glue	Hoxb9	0.0	1.0	placeholder
Hes7_glue	Hes7	0.0	1.0	placeholder
Glis1_glue	Glis1	0.0	1.0	placeholder
Hmx1_glue	Hmx1	0.0	1.0	placeholder
Hmx2_glue	Hmx2	0.0	1.0	placeholder
Lhx1_glue	Lhx1	0.0	1.0	placeholder
Emx2_glue	Emx2	0.0	1.0	placeholder
Evx2_glue	Evx2	0.0	1.0	placeholder
Gbx1_glue	Gbx1	0.0	1.0	placeholder
Lhx6_glue	Lhx6	0.0	1.0	placeholder
Mixl1_glue	Mixl1	0.0	1.0	placeholder
Ar_glue	Ar	0.0	1.0	placeholder
Rorc_glue	Rorc	0.0	1.0	placeholder
Runx3_glue	Runx3	0.0	1.0	placeholder
Jdp2_glue	Jdp2	0.0	1.0	placeholder
Nr1i2_glue	Nr1i2	0.0	1.0	placeholder
Cdx1_glue	Cdx1	0.0	1.0	placeholder
Rfx5_glue	Rfx5	0.0	1.0	placeholder
Nid1_glue	Nid1	0.0	1.0	placeholder
Nhlh1_glue	Nhlh1	0.0	1.0	placeholder
Twist2_glue	Twist2	0.0	1.0	placeholder
Hat1_glue	Hat1	0.0	1.0	placeholder
Spdef_glue	Spdef	0.0	1.0	placeholder
Hnf1a_glue	Hnf1a	0.0	1.0	placeholder
Dmbx1_glue	Dmbx1	0.0	1.0	placeholder
Gata1_glue	Gata1	0.0	1.0	placeholder
Nfil3_glue	Nfil3	0.0	1.0	placeholder
Hnf1b_glue	Hnf1b	0.0	1.0	placeholder
Dmrtc2_glue	Dmrtc2	0.0	1.0	placeholder
Hic1_glue	Hic1	0.0	1.0	placeholder
Camta1_glue	Camta1	0.0	1.0	placeholder
Olig1_glue	Olig1	0.0	1.0	placeholder
Hlf_glue	Hlf	0.0	1.0	placeholder
Tef_glue	Tef	0.0	1.0	placeholder
Gbx2_glue	Gbx2	0.0	1.0	placeholder
Arntl_glue	Arntl	0.0	1.0	placeholder
Tfec_glue	Tfec	0.0	1.0	placeholder
Usf2_glue	Usf2	0.0	1.0	placeholder
Arnt2_glue	Arnt2	0.0	1.0	placeholder
Bhlhe40_glue	Bhlhe40	0.0	1.0	placeholder
Bhlhe41_glue	Bhlhe41	0.0	1.0	placeholder
Mlx_glue	Mlx	0.0	1.0	placeholder
Mlxipl_glue	Mlxipl	0.0	1.0	placeholder
Tfe3_glue	Tfe3	0.0	1.0	placeholder
Tfeb_glue	Tfeb	0.0	1.0	placeholder
E2f8_glue	E2f8	0.0	1.0	placeholder
Zfx_glue	Zfx	0.0	1.0	placeholder
Creb3l1_glue	Creb3l1	0.0	1.0	placeholder
Npas2_glue	Npas2	0.0	1.0	placeholder
Clock_glue	Clock	0.0	1.0	placeholder
Sohlh2_glue	Sohlh2	0.0	1.0	placeholder
Zbtb33_glue	Zbtb33	0.0	1.0	placeholder
Zfp57_glue	Zfp57	0.0	1.0	placeholder
